bus t PEMmin PEMmax
 1  1   0.0000   0.0000
 1  2   0.0000   0.0000
 1  3   0.0000   0.0000
 1  4   0.0000   0.0000
 1  5   0.0000   0.0000
 1  6   0.0000   0.0000
 1  7   0.0000   0.0000
 1  8   0.0000   0.0000
 1  9   0.0000   0.0000
 1 10   0.0000   0.0000
 1 11   0.0000   0.0000
 1 12   0.0000   0.0000
 1 13   0.0000   0.0000
 1 14   0.0000   0.0000
 1 15   0.0000   0.0000
 1 16   0.0000   0.0000
 1 17   0.0000   0.0000
 1 18   0.0000   0.0000
 1 19   0.0000   0.0000
 1 20   0.0000   0.0000
 1 21   0.0000   0.0000
 1 22   0.0000   0.0000
 1 23   0.0000   0.0000
 1 24   0.0000   0.0000
 1 25   0.0000   0.0000
 1 26   0.0000   0.0000
 1 27   0.0000   0.0000
 1 28   0.0000   0.0000
 1 29   0.0000   0.0000
 1 30   0.0000   0.0000
 1 31   0.0000   0.0000
 1 32   0.0000   0.0000
 1 33   0.0000   0.0000
 1 34   0.0000   0.0000
 1 35   0.0000   0.0000
 1 36   0.0000   0.0000
 1 37   0.0000   0.0000
 1 38   0.0000   0.0000
 1 39   0.0000   0.0000
 1 40   0.0000   0.0000
 1 41   0.0000   0.0000
 1 42   0.0000   0.0000
 1 43   0.0000   0.0000
 1 44   0.0000   0.0000
 1 45   0.0000   0.0000
 1 46   0.0000   0.0000
 1 47   0.0000   0.0000
 1 48   0.0000   0.0000
 2  1   0.0435   0.0917
 2  2   0.1861   0.0162
 2  3   0.0142   0.0081
 2  4   0.0427   0.0108
 2  5   0.1673   0.0057
 2  6   0.0139   0.0068
 2  7   0.0080   0.0000
 2  8   0.0000   0.0000
 2  9   0.0671   0.0083
 2 10   0.0914   0.0095
 2 11   0.0631   0.0077
 2 12   0.2291   0.0969
 2 13   0.3892   0.0792
 2 14   0.1959   0.1230
 2 15   0.2938   0.1736
 2 16   0.3855   0.0797
 2 17   0.2703   0.2054
 2 18   0.2426   0.1047
 2 19   0.2588   0.0804
 2 20   0.0000   0.0601
 2 21   0.1142   0.1482
 2 22   0.4029   0.3287
 2 23  -0.6727  -0.6727
 2 24  -0.7420  -0.7420
 2 25   0.0000   0.0000
 2 26   0.0000   0.0000
 2 27   0.1673   0.0145
 2 28   0.2217   0.0073
 2 29   0.0681   0.0090
 2 30   0.0444   0.0601
 2 31   0.0845   0.1132
 2 32   0.2017   0.4520
 2 33   0.2953   0.2870
 2 34   0.2873   0.0633
 2 35   0.1790   0.2622
 2 36   0.3457   0.1952
 2 37   0.4065   0.3755
 2 38   0.1364   0.3491
 2 39   0.2482   0.4829
 2 40   0.1769   0.1503
 2 41   0.1014   0.3256
 2 42   0.2799   0.1840
 2 43   0.1438   0.0816
 2 44   0.1109   0.1006
 2 45   0.2152   0.1263
 2 46   0.0567   0.2265
 2 47   0.0085   0.0259
 2 48   0.0608   0.0829
 3  1   0.0371   0.0000
 3  2   0.0082   0.0076
 3  3   0.0155   0.0000
 3  4   0.0000   0.0000
 3  5   0.0000   0.0000
 3  6   0.0179   0.0000
 3  7   0.0000   0.0000
 3  8   0.0093   0.0000
 3  9   0.0380   0.0776
 3 10   0.0215   0.0449
 3 11   0.0446   0.1145
 3 12   0.0988   0.1832
 3 13   0.1558   0.1831
 3 14   0.2023   0.1303
 3 15   0.2029   0.2129
 3 16   0.2691   0.1742
 3 17   0.2466   0.1027
 3 18   0.1880   0.3507
 3 19   0.3631   0.2783
 3 20   0.0118   0.0005
 3 21   0.0986   0.0000
 3 22   0.4077   0.4983
 3 23  -0.6727  -0.6727
 3 24  -0.7420  -0.7420
 3 25   0.0000   0.0000
 3 26   0.0000   0.0000
 3 27   0.0098   0.0065
 3 28   0.0174   0.0000
 3 29   0.3566   0.0285
 3 30   0.0096   0.0031
 3 31   0.0595   0.0193
 3 32   0.0283   0.1683
 3 33   0.4226   0.0230
 3 34   0.2118   0.2883
 3 35   0.0430   0.2016
 3 36   0.2075   0.1814
 3 37   0.0489   0.0590
 3 38   0.2506   0.3884
 3 39   0.0666   0.0541
 3 40   0.2034   0.0187
 3 41   0.0379   0.0063
 3 42   0.0181   0.0106
 3 43   0.0329   0.0240
 3 44   0.0180   0.0297
 3 45   0.0349   0.1825
 3 46   0.0294   0.0065
 3 47   0.1710   0.1763
 3 48   0.2366   0.1876
 4  1   0.1899   0.0226
 4  2   0.0030   0.0165
 4  3   0.0198   0.0000
 4  4   0.0133   0.0901
 4  5   0.0067   0.0071
 4  6   0.0000   0.0000
 4  7   0.0000   0.0000
 4  8   0.0000   0.0069
 4  9   0.0000   0.0081
 4 10   0.0379   0.0570
 4 11   0.1250   0.0342
 4 12   0.0088   0.0585
 4 13   0.0832   0.1450
 4 14   0.2057   0.3654
 4 15   0.2481   0.0745
 4 16   0.2365   0.1634
