bus t PEMmin PEMmax
 1  1   0.0000   0.0000
 1  2   0.0000   0.0000
 1  3   0.0000   0.0000
 1  4   0.0000   0.0000
 1  5   0.0000   0.0000
 1  6   0.0000   0.0000
 1  7   0.0000   0.0000
 1  8   0.0000   0.0000
 1  9   0.0000   0.0000
 1 10   0.0000   0.0000
 1 11   0.0000   0.0000
 1 12   0.0000   0.0000
 1 13   0.0000   0.0000
 1 14   0.0000   0.0000
 1 15   0.0000   0.0000
 1 16   0.0000   0.0000
 1 17   0.0000   0.0000
 1 18   0.0000   0.0000
 1 19   0.0000   0.0000
 1 20   0.0000   0.0000
 1 21   0.0000   0.0000
 1 22   0.0000   0.0000
 1 23   0.0000   0.0000
 1 24   0.0000   0.0000
 1 25   0.0000   0.0000
 1 26   0.0000   0.0000
 1 27   0.0000   0.0000
 1 28   0.0000   0.0000
 1 29   0.0000   0.0000
 1 30   0.0000   0.0000
 1 31   0.0000   0.0000
 1 32   0.0000   0.0000
 1 33   0.0000   0.0000
 1 34   0.0000   0.0000
 1 35   0.0000   0.0000
 1 36   0.0000   0.0000
 1 37   0.0000   0.0000
 1 38   0.0000   0.0000
 1 39   0.0000   0.0000
 1 40   0.0000   0.0000
 1 41   0.0000   0.0000
 1 42   0.0000   0.0000
 1 43   0.0000   0.0000
 1 44   0.0000   0.0000
 1 45   0.0000   0.0000
 1 46   0.0000   0.0000
 1 47   0.0000   0.0000
 1 48   0.0000   0.0000
 2  1   0.0107   0.1445
 2  2   0.1013   0.0156
 2  3   0.1967   0.1099
 2  4   0.0000   0.0000
 2  5   0.0141   0.0210
 2  6   0.0102   0.0067
 2  7   0.0374   0.0219
 2  8   0.0331   0.0145
 2  9   0.0424   0.0550
 2 10   0.0638   0.0246
 2 11   0.1535   0.1654
 2 12   0.4099   0.1992
 2 13   0.3177   0.1090
 2 14   0.2803   0.3470
 2 15   0.6034   0.3287
 2 16   0.8010   0.5662
 2 17   0.9617   0.5125
 2 18   0.2529   0.3797
 2 19   0.5272   0.6068
 2 20   0.0560   0.0000
 2 21   0.1257   0.0000
 2 22   0.3388   0.0000
 2 23  -0.6727  -0.6727
 2 24  -0.7420  -0.7420
 2 25   0.0000   0.0000
 2 26   0.0123   0.0155
 2 27   0.0000   0.0232
 2 28   0.0879   0.0701
 2 29   0.0550   0.1828
 2 30   0.0757   0.0824
 2 31   0.1312   0.2429
 2 32   0.2360   0.2399
 2 33   0.4384   0.6518
 2 34   0.2305   0.1829
 2 35   0.5508   0.2130
 2 36   1.0426   0.3694
 2 37   0.2151   0.4935
 2 38   0.1900   0.4771
 2 39   0.2067   0.1789
 2 40   0.2446   0.4730
 2 41   0.4633   0.1150
 2 42   0.2871   0.4195
 2 43   0.3793   0.1351
 2 44   0.3584   0.2861
 2 45   0.1021   0.2055
 2 46   0.1478   0.1347
 2 47   0.1134   0.1117
 2 48   0.1133   0.2566
 3  1   0.0949   0.0276
 3  2   0.0688   0.0236
 3  3   0.0213   0.0234
 3  4   0.0420   0.0084
 3  5   0.0109   0.0169
 3  6   0.0090   0.0144
 3  7   0.0000   0.0067
 3  8   0.0109   0.0000
 3  9   0.0514   0.0181
 3 10   0.0559   0.2526
 3 11   0.1177   0.0437
 3 12   0.1694   0.1070
 3 13   0.1661   0.2151
 3 14   0.3636   0.3019
 3 15   0.3973   0.4165
 3 16   0.2593   0.6131
 3 17   0.3064   0.3890
 3 18   0.3826   0.4953
 3 19   0.2885   0.2675
 3 20   0.0000   0.0008
 3 21   0.1672   0.0000
 3 22   0.2558   0.3210
 3 23  -0.6727  -0.6727
 3 24  -0.7420  -0.7420
 3 25   0.0000   0.0000
 3 26   0.0100   0.0000
 3 27   0.0078   0.0152
 3 28   0.1190   0.1446
 3 29   0.1374   0.0679
 3 30   0.0458   0.0662
 3 31   0.1669   0.2231
 3 32   0.2635   0.3220
 3 33   0.1508   0.4369
 3 34   0.0843   0.1667
 3 35   0.4349   0.2784
 3 36   0.1719   0.4267
 3 37   0.2705   0.2218
 3 38   0.3913   0.1941
 3 39   0.2622   0.1792
 3 40   0.2488   0.3667
 3 41   0.2382   0.3515
 3 42   0.2386   0.3588
 3 43   0.2972   0.2987
 3 44   0.1621   0.1065
 3 45   0.0274   0.0487
 3 46   0.1829   0.0324
 3 47   0.0505   0.0597
 3 48   0.0658   0.1025
 4  1   0.0370   0.0084
 4  2   0.0499   0.0178
 4  3   0.0139   0.0931
 4  4   0.0032   0.0243
 4  5   0.0306   0.0020
 4  6   0.0153   0.0901
 4  7   0.0175   0.0018
 4  8   0.0680   0.0104
 4  9   0.0117   0.0502
 4 10   0.0648   0.0181
 4 11   0.1416   0.0768
 4 12   0.1565   0.1367
 4 13   0.3114   0.1428
 4 14   0.2504   0.1145
 4 15   0.2723   0.3464
 4 16   0.3541   0.2979
